id,name,lat,lng
447,Manhattan,40.7834,-73.9662
448,Bilaspur,22.15,82.0167
449,Semarang,-6.9667,110.4167
450,Ludhiana,30.9083,75.8486
451,Novosibirsk,55.0333,82.9167
452,Chengtangcun,35.0833,117.15
453,Agra,27.1724,78.0131
454,Karaj,35.8327,50.9915
455,Wenzhou,27.9991,120.6561
456,Indianapolis,39.7771,-86.1458
457,Leon de los Aldama,21.1167,-101.6833
458,Puebla,19.0333,-98.1833
459,Kalyan,19.2502,73.1602
460,Madurai,9.9197,78.1194
461,Mbuji-Mayi,-6.1209,23.5967
462,Hebi,35.7497,114.2887
463,Shiraz,29.61,52.5425
464,Jamshedpur,22.8,86.1833
465,Columbus,39.9862,-82.985
466,Tabriz,38.0833,46.2833
467,Maracaibo,10.6333,-71.6333
468,Kawasaki,35.5167,139.7
469,Aba,5.1167,7.3667
470,Palembang,-2.9833,104.7644
471,Zhangjiajie,29.1255,110.4844
472,Kobe,34.6913,135.183
473,Charlotte,35.208,-80.8304
474,Changshu,31.65,120.7333
475,Lianjiang,21.6146,110.2794
476,Ximeicun,24.9633,118.3811
477,Jianguang,28.1958,115.7833
478,Yucheng,29.9888,103.0007
479,Belem,-1.4558,-48.5039
480,Guiping,23.4,110.0833
481,Leizhou,20.9147,110.0806
482,Gwangju,35.1667,126.9167
483,Munich,48.1375,11.575
484,Nasik,20,73.7833
485,Porto Alegre,-30.0328,-51.23
486,Valencia,10.1667,-68
487,Onitsha,6.1667,6.7833
488,Abu Dhabi,24.4511,54.3969
489,Virginia Beach,36.7335,-76.0435
490,Daejeon,36.351,127.385
491,Zapopan,20.7167,-103.4
492,Yekaterinburg,56.8356,60.6128
493,Huazhou,32.6832,112.079
494,Kyoto,35.0117,135.7683
495,Shuangyashan,46.6388,131.1545
496,Pizhou,34.3422,118.0097
497,El Kelaa des Srarhna,32.05,-7.4
498,Kharkiv,50,36.2292
499,Yangshe,31.8775,120.5512
500,Guyuan,36.008,106.2782
501,Khulna,22.8167,89.55
502,Muscat,23.6139,58.5922
503,Bronx,40.8501,-73.8662
504,Gaozhou,21.9135,110.8481
505,Chizhou,30.6583,117.4849
506,Faridabad,28.4353,77.3147
507,Ulaanbaatar,47.9214,106.9055
508,Goiania,-16.6806,-49.2564
509,Fuqing,25.7232,119.3735
510,Belgrade,44.8167,20.4667
511,Pingdu,36.7833,119.9556
512,Milan,45.4669,9.19
513,Aurangabad,19.88,75.32
514,Yutan,28.3147,112.554
515,Milwaukee,43.0642,-87.9673
516,Huangshan,29.7132,118.3151
517,Auckland,-36.85,174.7833
518,Makassar,-5.1331,119.4136
519,Santiago,19.45,-70.7
520,Prague,50.0833,14.4167
521,Rajkot,22.2969,70.7984
522,Liangshi,27.2578,111.7351
523,Cordoba,-31.4167,-64.1833
524,Guarulhos,-23.4667,-46.5333
525,Al Basrah,30.515,47.81
526,Saitama,35.8617,139.6453
527,Juarez,31.7386,-106.487
528,Montevideo,-34.8667,-56.1667
529,Xintai,35.91,117.78
530,Wusong,30.9333,117.7667
531,Meerut,28.99,77.7
532,Yushu,44.8249,126.5451
533,Rongcheng,26.2312,104.0966
534,Huazhou,21.654,110.6294
535,Yangquan,37.8576,113.5762
536,Adelaide,-34.9275,138.6
537,Baishan,41.9377,126.4179
538,Dayan,26.8808,100.2208
539,Haicheng,40.8523,122.7474
540,Jiangyin,31.9087,120.2653
541,Huaiyin,33.5819,119.028
542,Wuzhong,37.9874,106.1919
543,Cacuaco,-8.7833,13.3667
544,Barranquilla,10.9639,-74.7964
545,Sofia,42.6979,23.3217
546,Soweto,-26.2678,27.8586
547,Jabalpur,23.1667,79.9333
548,Rucheng,32.3852,120.5634
549,Nizhniy Novgorod,56.3269,44.0075
550,Shaoyang,32.9387,119.8404
551,Dhanbad,23.7928,86.435
552,Comayaguela,14.0833,-87.2167
553,Laiwu,36.1833,117.6667
554,Sharjah,25.3575,55.3919
555,Jingling,30.6667,113.1667
556,Kazan,55.7908,49.1144
557,Suwon,37.2858,127.01
558,Yongcheng,33.9317,116.4459
559,Calgary,51.05,-114.0667
560,Can Tho,10.0333,105.7833
561,Abuja,9.0556,7.4914
562,Mandalay,21.9831,96.0844
563,Beidao,34.602,105.918
564,Xiangshui,26.5964,104.8314
565,Dadukou,26.5849,101.7149
566,Vila Velha,3.2167,-51.2167
567,Chelyabinsk,55.15,61.4
568,Mombasa,-4.05,39.6667
569,Providence,41.823,-71.4187
570,Varanasi,25.3189,83.0128
571,Qom,34.64,50.8764
572,Zhangye,38.9355,100.4553
573,Hiroshima,34.4,132.45
574,Maiduguri,11.8333,13.15
575,Maputo,-25.9153,32.5764
576,Doha,25.3,51.5333
577,Rosario,-32.9575,-60.6394
578,Pikine,14.75,-17.4
579,Xinyu,27.795,114.9242
580,Ahvaz,31.3203,48.6692
581,Jacksonville,30.3322,-81.6749
582,Medina,24.4667,39.6
583,Srinagar,34.0911,74.8061
584,Omsk,54.9667,73.3833
585,Liaoyuan,42.8976,125.1381
586,Cilacap,-7.7167,109.017
587,Yingtan,28.2333,117
588,Bandar Lampung,-5.4294,105.2625
589,Samara,53.1833,50.1167
590,Guankou,28.2363,113.6984
591,Ulsan,35.55,129.3167
592,Dingzhou,38.5158,114.9845
593,Campinas,-22.9009,-47.0573
594,Lianyuan,27.6961,111.6659
595,Dakar,14.7319,-17.4572
596,Rongcheng,29.8239,112.9019
597,Kaiyuan,36.0656,113.8153
598,Nay Pyi Taw,19.7475,96.115
599,Kigali,-1.9536,30.0606
600,Leiyang,26.4179,112.8457
601,Yichun,47.7235,128.8893
602,Benin name,6.3176,5.6145
603,Birmingham,52.48,-1.9025
604,Xiantao,30.3833,113.4
605,Amritsar,31.6269,74.877
606,Callao,-12.0611,-77.1333
607,Monterrey,25.6667,-100.3
608,Aligarh,27.88,78.08
609,Yingchuan,34.1511,113.4733
610,Ciudad Nezahualcoyotl,19.41,-99.03
611,Tripoli,32.8752,13.1875
612,Nampo,38.7689,125.4505
613,Rostov,47.2333,39.7167
614,Tegucigalpa,14.0942,-87.2067
615,Tbilisi,41.7225,44.7925
616,Guwahati,26.1722,91.7458
617,Ufa,54.7261,55.9475
618,Fes,34.0433,-5.0033
619,Bien Hoa,10.9508,106.8221
620,N'Djamena,12.11,15.05
621,Ikare,7.5304,5.76
622,Salt Lake name,40.7777,-111.9306
623,Bhilai,21.2186,81.4314
624,Haora,22.5736,88.3251
625,Tamale,9.4075,-0.8533
626,Xibeijie,39.737,98.5049
627,Copenhagen,55.6805,12.5615
628,Nezahualcoyotl,19.4,-98.9889
629,Hanchuan,30.652,113.8274
630,Gongzhuling,43.5036,124.8088
631,Krasnoyarsk,56.0089,92.8719
632,Cologne,50.9422,6.9578
633,Yicheng,31.3697,119.8239
634,Zhufeng,36,119.4167
635,Sao Goncalo,-22.8269,-43.0539
636,Nashville,36.1715,-86.7843
637,Yerevan,40.1814,44.5144
638,Nur-Sultan,51.1333,71.4333
639,Nouakchott,18.0858,-15.9785
640,Vereeniging,-26.6736,27.9319
641,Richmond,37.5295,-77.4756
642,Sao Luis,-2.53,-44.3028
643,Ranchi,23.3556,85.3347
644,San Pedro Sula,15.5,-88.0333
645,Taixing,32.1724,120.0142
646,Gwalior,26.215,78.1931
647,Memphis,35.1046,-89.9773
648,Goyang,37.6564,126.835
649,Bezwada,16.5167,80.6167
650,Edmonton,53.5344,-113.4903
651,Bishkek,42.8667,74.5667
652,Mizhou,35.99,119.3801
653,Tunis,36.8008,10.18
654,Xishan,27.6609,113.4946
655,Ezhou,30.3972,114.8842
656,Barquisimeto,10.0678,-69.3467
657,Sendai,38.2683,140.8694
658,Hegang,47.3139,130.2775
659,Kathmandu,27.7167,85.3667
660,Mexicali,32.6633,-115.4678
661,Voronezh,51.6717,39.2106
662,Perm,58.0139,56.2489
663,Changwon,35.2281,128.6811
664,Zhongwei,37.5139,105.1884
665,Shouguang,36.8833,118.7333
666,Bogor,-6.5917,106.8
667,Raleigh,35.8325,-78.6435
668,Cartagena,10.4236,-75.5253
669,Chandigarh,30.7353,76.7911
